,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,2.518610421836228,,
1,1,1,No,44.281,49.312,0.8979761518494485,,
2,2,1,No,48.452,53.195,0.910837484726008,,
3,3,1,No,49.489,53.848,0.9190499182885158,,
4,4,1,No,49.903,53.837,0.9269275776882069,,
5,5,1,No,49.666,54.0,0.9197407407407406,,
6,6,1,No,49.896,54.095,0.9223772991958592,,
7,7,1,No,49.419,54.081,0.9137959727076052,,
8,8,1,No,49.64,54.112,0.9173565937315198,,
9,9,1,No,49.862,54.15,0.9208125577100646,,
10,10,1,No,49.46,54.214,0.9123104733094773,,
11,11,1,No,49.916,54.362,0.9182149295463742,,
12,12,1,No,50.123,54.229,0.9242840546571023,,
13,13,1,No,50.014,53.865,0.9285064513134689,,
14,14,1,No,49.767,54.221,0.917854705741318,,
15,15,1,No,50.001,54.016,0.9256701718009479,,
16,16,1,No,49.544,53.774,0.9213374493249525,,
17,17,1,No,50.034,54.013,0.9263325495713995,,
18,18,1,No,49.4,53.96,0.9154929577464789,,
19,19,1,No,49.524,53.932,0.9182674478973522,,
20,20,1,No,49.712,53.843,0.923276934791895,,
21,21,1,No,49.747,54.303,0.916100399609598,,
22,22,1,Timesweep,49.282,53.838,0.9153757569003306,0.0,1.0
23,23,1,Timesweep,48.978,53.759,0.911066054056065,17.0,1.14
24,24,1,Timesweep,49.199,53.63,0.9173783330225619,34.0,1.28
25,25,1,Timesweep,49.881,54.07,0.922526354725356,51.0,1.42
26,26,1,Timesweep,49.3,53.8,0.9163568773234201,68.0,1.57
27,27,1,Timesweep,49.558,53.734,0.9222838426322254,85.0,1.71
28,28,1,Timesweep,49.012,53.539,0.9154448159285754,102.0,1.85
29,29,2,No,48.615,53.841,0.9029364239148604,,
30,30,2,No,49.313,53.699,0.9183225013501183,,
31,31,2,No,49.35,53.727,0.9185325813836619,,
32,32,2,No,48.76,53.42,0.9127667540247097,,
33,33,2,No,48.674,53.21,0.9147528660026311,,
34,34,2,No,49.174,53.622,0.9170489724366865,,
35,35,2,No,49.144,53.555,0.9176360750630193,,
36,36,2,No,49.202,53.659,0.9169384446225237,,
37,37,2,No,48.987,53.369,0.9178924094511796,,
38,38,2,No,48.762,53.482,0.9117460080026926,,
39,39,2,No,48.724,53.838,0.9050113302871577,,
40,40,2,No,49.199,54.4,0.9043933823529412,,
41,41,2,No,50.637,55.185,0.9175863006251699,,
42,42,2,No,50.286,55.296,0.909396701388889,,
43,43,2,No,50.505,55.321,0.9129444514741238,,
44,44,2,No,49.162,54.514,0.9018233848185786,,
45,45,2,No,49.627,55.142,0.8999854920024664,,
46,46,2,No,49.571,55.034,0.900734091652433,,
47,47,2,No,49.53,54.961,0.901184476264988,,
48,48,2,No,49.835,55.283,0.9014525260930123,,
49,49,2,No,49.141,54.992,0.8936027058481234,,
50,50,2,No,49.109,55.296,0.8881112557870371,,
51,51,2,No,49.349,55.309,0.892241768970692,,
52,52,2,No,48.551,54.885,0.8845950624032067,,
53,53,2,No,48.767,55.536,0.8781150965139729,,
54,54,2,No,48.625,55.103,0.8824383427399597,,
55,55,2,No,47.525,54.916,0.8654126301988492,,
56,56,2,No,47.919,55.112,0.8694839599361299,,
57,57,2,No,47.6,54.78,0.868930266520628,,
58,58,2,No,47.808,54.904,0.8707562290543494,,
59,59,2,No,47.571,54.867,0.867023894144021,,
60,60,2,No,47.357,54.857,0.8632808939606613,,
61,61,2,No,46.842,55.101,0.8501116132193608,,
62,62,2,No,46.142,54.691,0.8436854327037355,,
63,63,2,No,46.528,54.845,0.8483544534597502,,
64,64,2,No,46.223,55.156,0.8380411922546958,,
65,65,2,No,45.467,55.299,0.8222029331452648,,
66,66,2,No,45.09,55.228,0.8164336930542478,,
67,67,2,No,44.895,55.072,0.8152055490993608,,
68,68,2,No,46.41,55.316,0.8389977583339359,,
69,69,2,No,44.702,54.746,0.8165345413363533,,
70,70,2,No,43.893,54.807,0.8008648530297224,,
71,71,2,No,43.497,55.054,0.79007883169252,,
72,72,2,No,43.62,55.445,0.7867255839119848,,
73,73,2,No,42.71,54.844,0.7787542848807527,,
74,74,2,No,42.883,54.806,0.7824508265518375,,
75,75,2,No,42.416,55.146,0.7691582345047691,,
76,76,2,No,41.867,54.936,0.76210499490316,,
77,77,2,No,41.65,54.732,0.7609807790689176,,
78,78,2,No,41.389,54.816,0.7550532691185056,,
79,79,2,No,40.449,55.012,0.7352759397949538,,
80,80,2,No,40.728,54.972,0.7408862693734992,,
81,81,2,No,40.296,55.201,0.7299867756018913,,
82,82,2,No,39.175,54.742,0.7156296810492857,,
83,83,2,No,39.486,55.114,0.7164422832674093,,
84,84,2,No,38.686,54.935,0.704214071175025,,
85,85,2,No,38.317,54.831,0.6988200105779577,,
86,86,2,No,38.356,54.836,0.6994675031001533,,
87,87,2,No,37.808,54.925,0.6883568502503414,,
88,88,2,No,37.829,55.086,0.6867262099262971,,
